words,pos,stemmed,type
craven,anypos,y,strongsubj
cravenly,anypos,n,strongsubj
craze,noun,n,strongsubj
crazily,anypos,n,strongsubj
craziness,noun,n,strongsubj
crazy,anypos,n,strongsubj
credulous,adj,n,strongsubj
crime,noun,n,weaksubj
criminal,noun,n,weaksubj
cringe,verb,y,strongsubj
cripple,verb,y,strongsubj
crippling,adj,n,strongsubj
crisis,adj,n,weaksubj
crisis,noun,n,weaksubj
critic,noun,n,strongsubj
critical,anypos,y,strongsubj
criticism,adj,n,strongsubj
criticism,noun,n,strongsubj
criticisms,adj,n,strongsubj
criticisms,noun,n,strongsubj
criticize,verb,y,strongsubj
critics,adj,n,strongsubj
critics,noun,n,strongsubj
crook,noun,n,strongsubj
crooked,adj,n,strongsubj
cross,adj,n,strongsubj
crowded,adj,n,weaksubj
crude,adj,n,weaksubj
cruel,adj,n,strongsubj
cruelties,noun,n,strongsubj
cruelty,noun,n,strongsubj
crumble,verb,y,weaksubj
crumple,verb,y,weaksubj
crush,verb,y,weaksubj
crushing,adj,n,weaksubj
cry,verb,y,strongsubj
culpable,adj,n,strongsubj
cuplrit,noun,n,strongsubj
cumbersome,adj,n,strongsubj
curse,noun,n,strongsubj
curse,verb,y,strongsubj
cursed,adj,n,strongsubj
cursed,anypos,n,strongsubj
curses,noun,n,strongsubj
cursory,adj,n,weaksubj
curt,adj,n,weaksubj
cuss,verb,y,strongsubj
cut,verb,y,weaksubj
cutthroat,adj,n,strongsubj
cynical,adj,n,strongsubj
cynicism,noun,n,strongsubj
damage,noun,n,weaksubj
damage,verb,n,weaksubj
damaging,adj,n,weaksubj
damn,adj,n,strongsubj
damn,noun,n,strongsubj
damn,verb,y,strongsubj
damnable,anypos,n,strongsubj
damnably,anypos,n,strongsubj
damnation,anypos,n,strongsubj
damned,anypos,n,strongsubj
damning,anypos,n,strongsubj
danger,adj,n,weaksubj
danger,noun,n,weaksubj
dangerous,adj,n,weaksubj
dangerousness,adj,n,strongsubj
dangerousness,noun,n,strongsubj
dangle,verb,y,strongsubj
dark,adj,n,weaksubj
darken,verb,y,weaksubj
darkness,noun,n,weaksubj
darn,anypos,y,strongsubj
dash,verb,y,weaksubj
dastard,noun,n,strongsubj
dastardly,anypos,y,strongsubj
daunt,verb,y,strongsubj
daunting,anypos,n,strongsubj
dauntingly,anypos,n,strongsubj
dawdle,verb,y,strongsubj
daze,verb,y,strongsubj
dazed,adj,n,strongsubj
dead,adj,n,weaksubj
deadbeat,adj,n,strongsubj
deadlock,noun,n,strongsubj
deadlock,verb,y,strongsubj
deadly,adj,n,weaksubj
deadweight,adj,n,strongsubj
deaf,adj,n,weaksubj
dearth,noun,n,strongsubj
death,noun,n,weaksubj
debacle,noun,n,strongsubj
debase,verb,y,strongsubj
debasement,noun,n,strongsubj
debaser,noun,n,strongsubj
debatable,anypos,n,strongsubj
debate,verb,y,strongsubj
debauch,verb,y,strongsubj
debaucher,noun,n,strongsubj
debauchery,noun,n,strongsubj
debilitate,verb,y,weaksubj
debilitating,adj,n,weaksubj
debility,noun,n,weaksubj
decadence,noun,n,strongsubj
decadent,adj,n,strongsubj
decay,noun,n,strongsubj
decay,verb,y,strongsubj
decayed,anypos,n,strongsubj
deceit,noun,n,strongsubj
deceitful,anypos,n,strongsubj
